ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
56,RUDY & KELLY ACADEMY-A PAUL MITCHELL PARTNER SCHOOL,"1920 CENTERVILLE TURNPIKE, SUITE 114",VIRGINIA BEACH,VA,COSMETOLOGY AND BARBER SCHOOLS,23464,(757) 473-9797,VIRGINIA BEACH,51810,USA,https://paulmitchell.edu/virginiabeach,NOT AVAILABLE,210
57,POLYTECHNIC UNIVERSITY OF PUERTO RICO-ORLANDO,550 N ECONLOCKHATCHEE TR,ORLANDO,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",32825,(407) 677-7000 EXT 803,ORANGE,12095,USA,www.pupr.edu/,POLYTECHNIC UNIVERSITY-ORLANDO CAMPUS,160
58,THE CULINARY SCHOOL OF FORT WORTH,6550 CAMP BOWIE BLVD #110,FORT WORTH,TX,OTHER TECHNICAL AND TRADE SCHOOLS,76116,(817) 737-8427,TARRANT,48439,USA,csftw.edu,NOT AVAILABLE,-999
59,RADIOLOGICAL TECHNOLOGIES UNIVERSITY VT,"100 EAST WAYNE STREET, SUITE 140",SOUTH BEND,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46601,(574) 232-2408,ST. JOSEPH,18141,USA,rtuvt.edu,NOT AVAILABLE,99
60,UNIVERSITY OF SAINT KATHERINE,1637 CAPALINA ROAD,SAN MARCOS,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92069,(760) 471-1316,SAN DIEGO,6073,USA,www.skcca.edu,NOT AVAILABLE,137
61,TOTALLY COSMO SCHOOL OF MODERN COSMETOLOGY,110 N BROADWAY,BROKEN BOW,OK,COSMETOLOGY AND BARBER SCHOOLS,74728,(580) 584-3103,MCCURTAIN,40089,USA,totallycosmo.com,NOT AVAILABLE,31
62,U.S. TRUCK DRIVER TRAINING SCHOOL,6500 15 MILE ROAD,STERLING HEIGHTS,MI,OTHER TECHNICAL AND TRADE SCHOOLS,48312,(586) 838-4268,MACOMB,26099,USA,https://ustdts.edu/,NOT AVAILABLE,172
63,PRESBYTERIAN THEOLOGICAL SEMINARY IN AMERICA,15605 CARMENITA ROAD,SANTA FE SPRINGS,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",90670,(562) 926-1023 EXT 300,LOS ANGELES,6037,USA,ptsa.edu,NOT AVAILABLE,160
64,HEALTH CAREER INSTITUTE,1764 NORTH CONGRESS AVENUE,WEST PALM BEACH,FL,OTHER TECHNICAL AND TRADE SCHOOLS,33409,(561) 586-0121,PALM BEACH,12099,USA,www.hci.edu/,NOT AVAILABLE,433
65,GREAT LAKES TRUCK DRIVING SCHOOL,27740 ROYALTON ROAD,COLUMBIA STATION,OH,OTHER TECHNICAL AND TRADE SCHOOLS,44028,(866) 932-3436,LORAIN,39093,USA,greatlakestds.com/,NOT AVAILABLE,29
66,AMERICA EVANGELICAL UNIVERSITY,1818 SOUTH WESTERN AVENUE SUITE 409,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",90006,(323) 643-0301,LOS ANGELES,6037,USA,www.aeu.edu/,NOT AVAILABLE,47
67,GADSDEN TECHNICAL INSTITUTE,201 MARTIN LUTHER KING JR BOULEVARD,QUINCY,FL,OTHER TECHNICAL AND TRADE SCHOOLS,32351,(850) 875-8324,GADSDEN,12039,USA,www.gadsdentech.org,NOT AVAILABLE,48
68,LOS ANGELES ACADEMY OF FIGURATIVE ART,16926 SATICOY STREET,VAN NUYS,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",91406,(818) 429-3110,LOS ANGELES,6037,USA,laafa.edu,NOT AVAILABLE,14
69,WORLD CLASS ACADEMY OF BEAUTY CAREERS,516 WEST ORANGE AVENUE,TALLAHASSEE,FL,OTHER TECHNICAL AND TRADE SCHOOLS,32310,(850) 580-7799,LEON,12073,USA,https://www.worldclassacademybeautycareers.com,NOT AVAILABLE,8
70,ALLIED HEALTH CAREERS INSTITUTE,1237 COMMERCE PARK,MURFREESBORO,TN,OTHER TECHNICAL AND TRADE SCHOOLS,37130,(615) 396-8733,RUTHERFORD,47149,USA,www.ahci.edu,NOT AVAILABLE,88
71,SACRAMENTO ULTRASOUND INSTITUTE,2233 WATT AVENUE,SACRAMENTO,CA,OTHER TECHNICAL AND TRADE SCHOOLS,95825,(916) 877-7977,SACRAMENTO,6067,USA,sui.edu,NOT AVAILABLE,80
72,MEDICAL PREP INSTITUTE OF TAMPA BAY,2304 E BUSCH BOULEVARD,TAMPA,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",33612,(813) 932-1710,HILLSBOROUGH,12057,USA,www.medicalprepinstitute.org,NOT AVAILABLE,183
73,ELITE INSTITUTE OF COSMETOLOGY,1619 CHILLICOTHE STREET,PORTSMOUTH,OH,COSMETOLOGY AND BARBER SCHOOLS,45662,(740) 876-4343,SCIOTO,39145,USA,www.iloveelite.com/#!/pageHome,NOT AVAILABLE,9
74,ARIZONA STATE UNIVERSITY - ASU COLLEGES AT LAKE HAVASU CITY,100 UNIVERSITY WAY,LAKE HAVASU CITY,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",86403,NOT AVAILABLE,MOHAVE,4015,USA,NOT AVAILABLE,NOT AVAILABLE,-999
75,ARIZONA STATE UNIVERSITY AT THE GILA VALLEY,615 NORTH STADIUM AVENUE,THATCHER,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",85552,NOT AVAILABLE,GRAHAM,4009,USA,NOT AVAILABLE,NOT AVAILABLE,-999
76,ARIZONA STATE UNIVERSITY AT YUMA,2020 SOUTH AVENUE EIGHT EAST,YUMA,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",85365,NOT AVAILABLE,YUMA,4027,USA,NOT AVAILABLE,NOT AVAILABLE,-999
77,RELAY GRADUATE SCHOOL OF EDUCATION - SAN ANTONIO,250 EAST GRAYSON STREET,SAN ANTONIO,TX,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",78215,NOT AVAILABLE,BEXAR,48029,USA,NOT AVAILABLE,NOT AVAILABLE,-999
78,WRIGHT INSTITUTE (THE) -,2501 9TH STREET,BERKELEY,CA,JUNIOR COLLEGES,94710,NOT AVAILABLE,ALAMEDA,6001,USA,NOT AVAILABLE,NOT AVAILABLE,-999
79,EDGE TECH ACADEMY,"8701 BEDFORD EULESS ROAD, SUITE 610",HURST,TX,OTHER TECHNICAL AND TRADE SCHOOLS,76053,(682) 334-5700,TARRANT,48439,USA,edgetechacademy.edu/,NOT AVAILABLE,8
80,NEW CASTLE SCHOOL OF TRADES - EAST LIVERPOOL CAMPUS,129 E. 5TH STREET,EAST LIVERPOOL,OH,OTHER TECHNICAL AND TRADE SCHOOLS,43920,NOT AVAILABLE,COLUMBIANA,39029,USA,NOT AVAILABLE,NOT AVAILABLE,-999
81,SUMNER COLLEGE,15115 SW SEQUOIA PARKWAY #200,PORTLAND,OR,JUNIOR COLLEGES,97224,(503) 223-5100,MULTNOMAH,41051,USA,sumnercollege.edu/,NOT AVAILABLE,322
82,ITT TECHNICAL INSTITUTE-OMAHA,"1120 NORTH 103RD PLAZA,SUITE 200",OMAHA,NE,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",68114,NOT AVAILABLE,DOUGLAS,31055,USA,NOT AVAILABLE,NOT AVAILABLE,-999
83,BROWN MACKIE COLLEGE-ATLANTA,4370 PEACHTREE DUNWOODY RD NE,ATLANTA,GA,JUNIOR COLLEGES,30319,(404) 799-4500,DEKALB,13089,USA,www.brownmackie.edu/locations/atlanta,NOT AVAILABLE,150
84,PENNSYLVANIA COLLEGE OF HEALTH SCIENCES,850 GREENFIELD ROAD,LANCASTER,PA,JUNIOR COLLEGES,17601,(800) 622-5443,LANCASTER,42071,USA,https://www.pacollege.edu/,PA COLLEGE,1793
85,MILAN INSTITUTE-PALM DESERT,"75-030 GERALD FORD DRIVE, SUITE 203",PALM DESERT,CA,OTHER TECHNICAL AND TRADE SCHOOLS,92211,(760) 469-4545,RIVERSIDE,6065,USA,www.milaninstitute.edu,NOT AVAILABLE,118
86,PAUL MITCHELL THE SCHOOL-RHODE ISLAND,"30 CHAPEL VIEW BLVD., SUITE 100",CRANSTON,RI,COSMETOLOGY AND BARBER SCHOOLS,2920,(877) 672-4665,PROVIDENCE,44007,USA,paulmitchell.edu/rhodeisland,NOT AVAILABLE,224
87,COLUMBIA SOUTHERN UNIVERSITY,21982 UNIVERSITY LANE,ORANGE BEACH,AL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",36561,(251) 981-3771 EXT 1422,BALDWIN,1003,USA,www.columbiasouthern.edu,NOT AVAILABLE,20818
88,MIAMI AD SCHOOL-NEW YORK,35-37 36TH ST,ASTORIA,NY,OTHER TECHNICAL AND TRADE SCHOOLS,11106,(305) 538-3193,QUEENS,36081,USA,www.miamiadschool.com,NOT AVAILABLE,110
89,WOODRUFF MEDICAL TRAINING AND TESTING,4053 LAVISTA ROAD,TUCKER,GA,OTHER TECHNICAL AND TRADE SCHOOLS,30084,(404) 499-1777,DEKALB,13089,USA,www.woodruffmedical.edu,NOT AVAILABLE,79
90,REGAN CAREER INSTITUTE,11350 VALLEY BOULEVARD,EL MONTE,CA,OTHER TECHNICAL AND TRADE SCHOOLS,91731,(626) 455-0312,LOS ANGELES,6037,USA,rci.edu,RCI,19
91,BOLIVAR TECHNICAL COLLEGE,1135 NORTH OAKLAND AVENUE,BOLIVAR,MO,JUNIOR COLLEGES,65613,(417) 777-5062,POLK,29167,USA,www.bolivarcollege.org,NOT AVAILABLE,119
92,BALDY VIEW REGIONAL OCCUPATIONAL PROGRAM,1501 BON VIEW AVENUE,ONTARIO,CA,JUNIOR COLLEGES,91764,(909) 980-6490,SAN BERNARDINO,6071,USA,www.baldyviewrop.com,NOT AVAILABLE,48
93,MAK BEAUTY INSTITUTE,570 LAKELAND PLAZA,CUMMING,GA,COSMETOLOGY AND BARBER SCHOOLS,30040,(770) 292-9669,FORSYTH,13117,USA,makbeautyinstitute.com,NOT AVAILABLE,10
94,REFORMED UNIVERSITY,1724 ATKINSON ROAD,LAWRENCEVILLE,GA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",30043,(770) 232-2717,GWINNETT,13135,USA,runiv.edu,NOT AVAILABLE,139
95,MOBILE TECHNICAL TRAINING,460 US HIGHWAY 46 WEST,SOUTH HACKENSACK,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,7606,(201) 329-9000,BERGEN,34003,USA,www.mobiletechtraining.com,NOT AVAILABLE,24
96,AMERICAN BARBER ACADEMY,110 MORGANTOWN ROAD,READING,PA,COSMETOLOGY AND BARBER SCHOOLS,19611,(610) 927-5664,BERKS,42011,USA,americanbarberacademy.com,NOT AVAILABLE,49
97,MASTER'S BARBER & STYLING COLLEGE,14665 D LEBANON ROAD,OLD HICKORY,TN,COSMETOLOGY AND BARBER SCHOOLS,37138,(615) 754-8144,WILSON,47189,USA,mastersbarbercollege.edu,MASTER'S BARBER COLLEGE,18
98,YESHIVA SHAAR EPHRAIM,178 MAPLE AVENUE,MONSEY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",10952,(845) 426-3116,ROCKLAND,36087,USA,shaarephraim.org,NOT AVAILABLE,117
99,CALIFORNIA INSTITUTE OF ARTS & TECHNOLOGY,2820 CAMINO DEL RIO SOUTH SUITE 100,SAN DIEGO,CA,JUNIOR COLLEGES,92108,(877) 559-3621,SAN DIEGO,6073,USA,www.ciat.edu,NOT AVAILABLE,804
100,"ELITE COSMETOLOGY, BARBER & SPA ACADEMY",2606 WEST NOB HILL BOULEVARD,YAKIMA,WA,COSMETOLOGY AND BARBER SCHOOLS,98902,(509) 457-9246,YAKIMA,53077,USA,elitecbsacademy.com,ELITE CBS ACADEMY,104
101,ELYON COLLEGE,1400 WEST 6TH STREET,BROOKLYN,NY,JUNIOR COLLEGES,11204,(718) 259-5600,KINGS,36047,USA,elyon.edu,NOT AVAILABLE,29
102,C. ALEXANDER SCHOOL OF COSMETOLOGY,3700 SOUTH UNIVERSITY AVENUE SUITE 10,LITTLE ROCK,AR,COSMETOLOGY AND BARBER SCHOOLS,72204,(501) 515-1122,PULASKI,5119,USA,calexanderschool.com,NOT AVAILABLE,12
103,WESTERN MICHIGAN UNIVERSITY HOMER STRYKER M.D. SCHOOL OF MEDICINE,300 PORTAGE STREET,KALAMAZOO,MI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",49007,(269) 337-4500,KALAMAZOO,26077,USA,med.wmich.edu,WESTERN MICHIGAN UNIVERSITY SCHOOL OF MEDICINE,268
